Klassenname,Beschreibung,Studio Name,Standort,Kategorie,Datum,URL_E,Zeit
,"Du strotzt vor Kraft und bist flexibel wie eine Brezel? Perfekt! Wir bauen auf den Mittelstufen Tricks auf. Ihr dürft kein Problem haben einen Aerial Invert auszuführen! Einen Shouldermount macht ihr ohne Probleme, denn Deadlift ist dein zweiter Vorname. Unser Ziel ist ein gewisses Leistungsniveau. Egal ob für eine Meisterschaft oder für dich selbst.",Pole Land,"Kölner Straße 336a, 40227 Düsseldorf",Polesport,"Mittwoch, 24. Januar 2024",https://www.eversports.de/e/class/DH_NxA2,18:10 - 19:05
,"Unsere Trainerin Daria darf sich official ambassador of Frame Up Strip nennen und arbeitet daran, den Tanzstil in Deutschland ein wenig bekannter zu machen. Der neue Tanzstil aus Russland erfreut sich dort immer größerer Beliebtheit und unser Studio freut sich als eines der wenigen in Europa den Style anbieten zu können. Frame Up Base mit Katja Der neue Tanzstil aus Russland erfreut sich dort immer größerer Beliebtheit und unser Studio freut sich als eines der wenigen in Europa den Style anbieten zu können. Frame-Up basiert auf dem klassischen Stripdance Floorwork. Wodurch sich Frame-Up aber von seinem Ursprung unterscheidet sind höhere Geschwindigkeit, Bedeutung der Musikalität, klarer Linien und Isolationen. In diesem Kurs lernen wir Choreos und die darin vorkommenden akrobatischen Elemente. Ab und zu arbeiten wir auch an Impro Skills, denn grundsätzlich darf jede*r eine eigene Interpretation von Frame Up vertanzen und Einflüsse unterschiedlicher Tanzrichtungen einbauen. Wichtige Hinweise: Knieschoner sind empfohlen, Schuhe mit Plateau empfehlenswert aber kein Muss. Eine lange Hose und ein Oberteil, das die Schultern bedeckt sind empfehlenswert, damit wir besser über den Boden gleiten und nicht kleben.",Pole Land,"Kölner Straße 336a, 40227 Düsseldorf",Frame Up,"Mittwoch, 24. Januar 2024",https://www.eversports.de/e/class/L-aTGtkZIoM,19:20 - 20:15
,Hier erlernt ihr eine Choreografie für Pole Beginner.,Pole Land,Einzelticket,Poledance,"Mittwoch, 24. Januar 2024",https://www.eversports.de/e/class/wn4uaevnUq0,20:30 - 21:25
,Neue Choreo ab 11.01.2024. Hier erlernt ihr eine Choreografie für Pole Begeisterte mit Pole Erfahrung. Ein Invert ist Voraussetzung.,Pole Land,Einzelticket,Poledance,"Donnerstag, 25. Januar 2024",https://www.eversports.de/e/class/qvJUUicop0,18:10 - 19:05
,"Du möchtest deine gelernten Tricks selbstständig, also ohne Anleitung einer Trainer*In für dich selber wiederholen? Du kannst in unserer Community mit anderen Polerinas in Kontakt kommen, gegenseitig Erfahrungen austauschen, einfach frei trainieren. Für alle Mitglieder kostenlos Für Externe & Karteninhaber*Innen kostet eine Freie Übungsstunde 10€ und dauert immer mindestens 60 Minuten.",Pole Land,"Kölner Straße 336a, 40227 Düsseldorf",Aerial Akrobatik,"Donnerstag, 25. Januar 2024",https://www.eversports.de/e/class/OQ4aOZH,18:10 - 20:15
,"Du hast Lust dich in High Heels an der Pole bewegen? Die Choreo Klasse mit Daria ist da genau richtig. Die Stunde ist folgendermaßen strukturiert: Wir wärmen uns direkt in Heels und an der Pole auf, machen anschließend einige Übungen für die Füße und Flexibilität. Anschließend arbeiten wir an Transitions oder Posen, die etwas komplexer sind und bauen sie anschließend in unsere Choreo ein. Für den Kurs sind Extrem Plateau Heels und Knieschoner empfohlen. Wenn ihr noch keine eigene Ausstattung habt, aber gern rein schnuppern möchtet, schreibt uns gern an, in einigen Größen haben wir Schuhe da und Knieschoner könnt ihr euch auch bei uns leihen.",Pole Land,"Kölner Straße 336a, 40227 Düsseldorf",Poledance,"Donnerstag, 25. Januar 2024",https://www.eversports.de/e/class/iU91nbYLMFG,19:20 - 20:15
,Neue Choreo ab 11.01.2024. Hier erlernt ihr eine Choreografie mit Pole für Pole Dance Liebende. Lasst euch überraschen was euch geboten wird.,Pole Land,Einzelticket,Poledance,"Donnerstag, 25. Januar 2024",https://www.eversports.de/e/class/1ZdbJ4nnFrx,20:30 - 21:25
,"Jede Klasse beginnt mit einem guten Ganzkörper-Aufwärmen, danach gehen wir alle großen Muskelgruppen durch und erst dann widmen wir uns der vertieften Arbeit an Beinen, Rücken oder Schultern.  Regelmäßiges Dehnen macht die schönsten Elemente an der Stange möglich, seien es horizontale oder vertikale Splits in der Luft oder schöne Figuren, die mehr Rückenflexibilität erfordern. Darüber hinaus bringt Stretching unbestreitbare gesundheitliche Vorteile: Es erhöht die Beweglichkeit der Gelenke, verringert das Verletzungsrisiko und erhöht die Muskelleistung.  Empfehlung zur Kleidung: Eine warme Jogginghose und Jacke. Wir empfehlen auch das Tragen eines Backwarmers (auch Nierengurt genannt ;)), um den unteren Rücken warm zu halten.",Pole Land,"Kölner Straße 336a, 40227 Düsseldorf",Dehnung/Flexibilität,"Donnerstag, 25. Januar 2024",https://www.eversports.de/e/class/J0H-xxb,20:30 - 21:25
,"Habt ihr die Basics schon drauf? Dann lernen wir weitere Techniken, Combos und Tricks die die Grundlage für schwierigere Pole Tricks bilden.",Pole Land,"Kölner Straße 336a, 40227 Düsseldorf",Polesport,"Freitag, 26. Januar 2024",https://www.eversports.de/e/class/tT9GkkdFhm7,17:00 - 17:55
,"Jede Klasse beginnt mit einem guten Ganzkörper-Aufwärmen, danach gehen wir alle großen Muskelgruppen durch und erst dann widmen wir uns der vertieften Arbeit an Beinen, Rücken oder Schultern.  Regelmäßiges Dehnen macht die schönsten Elemente an der Stange möglich, seien es horizontale oder vertikale Splits in der Luft oder schöne Figuren, die mehr Rückenflexibilität erfordern. Darüber hinaus bringt Stretching unbestreitbare gesundheitliche Vorteile: Es erhöht die Beweglichkeit der Gelenke, verringert das Verletzungsrisiko und erhöht die Muskelleistung.  Empfehlung zur Kleidung: Eine warme Jogginghose und Jacke. Wir empfehlen auch das Tragen eines Backwarmers (auch Nierengurt genannt ;)), um den unteren Rücken warm zu halten.",Pole Land,"Kölner Straße 336a, 40227 Düsseldorf",Dehnung/Flexibilität,"Freitag, 26. Januar 2024",https://www.eversports.de/e/class/rmnfT5E,18:10 - 19:05
,"Du hast Lust dich in High Heels an der Pole bewegen? Die Choreo Klasse mit Daria ist da genau richtig. Die Stunde ist folgendermaßen strukturiert: Wir wärmen uns direkt in Heels und an der Pole auf, machen anschließend einige Übungen für die Füße und Flexibilität. Anschließend arbeiten wir an Transitions oder Posen, die etwas komplexer sind und bauen sie anschließend in unsere Choreo ein. Für den Kurs sind Extrem Plateau Heels und Knieschoner empfohlen. Wenn ihr noch keine eigene Ausstattung habt, aber gern rein schnuppern möchtet, schreibt uns gern an, in einigen Größen haben wir Schuhe da und Knieschoner könnt ihr euch auch bei uns leihen.",Pole Land,"Kölner Straße 336a, 40227 Düsseldorf",Poledance,"Freitag, 26. Januar 2024",https://www.eversports.de/e/class/QWnmgP3,18:10 - 19:05
,"Du bist schon lange dabei, leichte Tricks beherrscht du aus dem FF und möchtest dich gerne weiterentwickeln? You are welcome to join!",Pole Land,"Kölner Straße 336a, 40227 Düsseldorf",Polesport,"Freitag, 26. Januar 2024",https://www.eversports.de/e/class/kSRPcQ_YVHQ,19:20 - 20:15
,"Im High Heels Kurs lernen wir das schöne laufen in High Heels, das tanzen in High Heels und arbeiten an kleinen Floor-Acro-Tricks. Knieschoner sind empfohlen, Schuhe ohne Plateau empfehlenswert aber kein muss. ihr bringt eure High Heels mit, mit denen ihr euch wohlfühlt. Es sind keine Plateau Heels!",Pole Land,"Kölner Straße 336a, 40227 Düsseldorf",Frame Up,"Freitag, 26. Januar 2024",https://www.eversports.de/e/class/FCsyX-n,19:20 - 20:15
,"Pole Tricks & Combos mit Louisa studierst du an der HHU, HSD, Kunstakademie oder RS Musikhochschule? Dann kannst du einzelne Stunden, oder Zeitkarten, ganz ohne Vertrag buchen. Du meldest dich für die Kurse an die du besuchen möchtest. Hast du eine Klausurphase, dann trägst du dich in dem Zeitraum nicht ein.",Pole Land,"Kölner Straße 336a, 40227 Düsseldorf",Polesport,"Montag, 22. Januar 2024",https://www.eversports.de/e/class/u0t1oAe,17:00 - 17:55
,"Habt ihr die Basics schon drauf? Dann lernen wir weitere Techniken, Combos und Tricks die die Grundlage für schwierigere Pole Tricks bilden.",Pole Land,"Kölner Straße 336a, 40227 Düsseldorf",Polesport,"Montag, 22. Januar 2024",https://www.eversports.de/e/class/2cGj4Dl34Fp,18:10 - 19:05
,"Du hast schon ein Bisschen Kraft & Flexibilität aufgebaut und das Klettern ist für dich kein Problem & ein Invert auch nicht? Perfekt, dann lernen wir weitere Techniken, Combos und Tricks um fortgeschritten zu werden.",Pole Land,"Kölner Straße 336a, 40227 Düsseldorf",Polesport,"Montag, 22. Januar 2024",https://www.eversports.de/e/class/lgBHKa_Pbsp,19:20 - 20:15
,"Jede Klasse beginnt mit einem guten Ganzkörper-Aufwärmen, danach gehen wir alle großen Muskelgruppen durch und erst dann widmen wir uns der vertieften Arbeit an Beinen, Rücken oder Schultern.  Regelmäßiges Dehnen macht die schönsten Elemente an der Stange möglich, seien es horizontale oder vertikale Splits in der Luft oder schöne Figuren, die mehr Rückenflexibilität erfordern. Darüber hinaus bringt Stretching unbestreitbare gesundheitliche Vorteile: Es erhöht die Beweglichkeit der Gelenke, verringert das Verletzungsrisiko und erhöht die Muskelleistung.  Empfehlung zur Kleidung: Eine warme Jogginghose oder Leggings und ein ne Jacke. Wir empfehlen auch das Tragen eines Backwarmers (auch Nierengurt genannt ;)), um den unteren Rücken warm zu halten.",Pole Land,"Kölner Straße 336a, 40227 Düsseldorf",Dehnung/Flexibilität,"Montag, 22. Januar 2024",https://www.eversports.de/e/class/SPGeXhQ,19:20 - 20:15
,"Wir lassen euch nicht einfach in den Seilen hängen! Beim Hammock hängt das Tuch in einem U. Ähnlich wie eine Hängematte. Gemütlichen herumhängen ist hier bei uns aber nicht gemeint. Beim Hammock geht es darum, sich durch bestimmte Bewegungen mit dem eigenen Körper so in das Tuch einzudrehen, dass man sich anschließend hängen oder sogar fallen lassen kann. Das Ganze erfordert Kraft und Körperspannung, verbunden mit Eleganz, Flexibilität und Ausdruck. Eure Kleidung ist lang und eng anliegend. Am besten eignen sich Stoffe aus Baumwolle, da synthetische Fasern nicht am Tuch haften und ihr rutscht. Unsere Gesa freut sich schon auf euch.",Pole Land,"Kölner Straße 336a, 40227 Düsseldorf",Aerial Hammock,"Montag, 22. Januar 2024",https://www.eversports.de/e/class/IO5Eyzb,20:30 - 21:40
,"Pole Tricks & Combos mit Louisa studierst du an der HHU, HSD, Kunstakademie oder RS Musikhochschule? Dann kannst du einzelne Stunden, oder Zeitkarten, ganz ohne Vertrag buchen. Du meldest dich für die Kurse an die du besuchen möchtest. Hast du eine Klausurphase, dann trägst du dich in dem Zeitraum nicht ein.",Pole Land,"Kölner Straße 336a, 40227 Düsseldorf",Polesport,"Dienstag, 23. Januar 2024",https://www.eversports.de/e/class/nafUMyJ,17:00 - 17:55
,"Du hast schon ein Bisschen Kraft & Flexibilität aufgebaut und das Klettern ist für dich kein Problem & ein Invert auch nicht? Perfekt, dann lernen wir weitere Techniken, Combos und Tricks um fortgeschritten zu werden.",Pole Land,Einzelticket,Polesport,"Dienstag, 23. Januar 2024",https://www.eversports.de/e/class/wJMfn5C,18:10 - 19:05
,"Ihr möchtet Hoop ausprobieren? Oder kennst schon die Basics? Dann kommt vorbei und lernt neue Techniken, die euch weiterbringen, verinnerlicht und zu kombiniert diese und werdet noch großartiger! Maurice macht Luftakrobatik mit Leidenschaft und wird dir die wichtigen Kniffe Schritt für Schritt erklären. Wichtiger Hinweis für alle Teilnehmenden: Bitte tragt Sportkleidung, die eure Arme und Beide bedeckt! Im Gegensatz zur Pole brauchen wir hier nicht den Kontakt zur Haut, der uns halt gibt, sondern wollen unsere Haut vor Reibung schützen.",Pole Land,"Kölner Straße 336a, 40227 Düsseldorf",Aerial Hoop,"Dienstag, 23. Januar 2024",https://www.eversports.de/e/class/4vw-DQVuxJH,18:10 - 19:20
,"Ihr möchtet elegante Transitions an und vor allem um die Pole herum erlernen, mehr Gefühl für dynamische Bewegungen bekommen und Inspiration für euren eigenen Flow sammeln? Dann seid ihr hier genau richtig! Im Kurs erlernen wir technische Elemente, mit denen wir anschließend tänzerische Sequenzen mit ""smoothen"" Übergängen kreieren.  Im Gegensatz zu einem Choreokurs tanzen wir nicht mit fester Musik.  Die Pole Basics wie das Klettern, den Pole Sit und ein paar erste Spins solltet ihr schon drauf haben.",Pole Land,"Kölner Straße 336a, 40227 Düsseldorf",Poledance,"Dienstag, 23. Januar 2024",https://www.eversports.de/e/class/00GQ0qVpg3H,19:20 - 20:15
,"Habt ihr die Basics schon drauf? Dann lernen wir weitere Techniken, Combos und Tricks die die Grundlage für schwierigere Pole Tricks bilden.",Pole Land,"Kölner Straße 336a, 40227 Düsseldorf",Polesport,"Dienstag, 23. Januar 2024",https://www.eversports.de/e/class/OHMjoXs,20:30 - 21:25
,"Pole Tricks & Combos mit Louisa studierst du an der HHU, HSD, Kunstakademie oder RS Musikhochschule? Dann kannst du einzelne Stunden, oder Zeitkarten, ganz ohne Vertrag buchen. Du meldest dich für die Kurse an die du besuchen möchtest. Hast du eine Klausurphase, dann trägst du dich in dem Zeitraum nicht ein.",Pole Land,"Kölner Straße 336a, 40227 Düsseldorf",Polesport,"Mittwoch, 24. Januar 2024",https://www.eversports.de/e/class/6t0NNlV,17:00 - 17:55
,"Die aktuelle Choreo wird seit 11.10.2023 unterrichtet. Song: Gang of Youths - Achilles come down Hier erlernt ihr eine Choreografie ohne Pole. Lasst euch überraschen was Gesa mit euch zusammen kreiert. Was ihr mitbringen müsst: Socken, Knieschoner und Spaß am tanzen. Gesa freut sich auf euch.",Pole Land,"Kölner Straße 336a, 40227 Düsseldorf",Streetdance,"Mittwoch, 24. Januar 2024",https://www.eversports.de/e/class/lTP_y8Z,18:10 - 19:05
,"Du strotzt vor Kraft und bist flexibel wie eine Brezel? Perfekt! Wir bauen auf den Mittelstufen Tricks auf. Ihr dürft kein Problem haben einen Aerial Invert auszuführen! Einen Shouldermount macht ihr ohne Probleme, denn Deadlift ist dein zweiter Vorname. Unser Ziel ist ein gewisses Leistungsniveau. Egal ob für eine Meisterschaft oder für dich selbst.",Pole Land,"Kölner Straße 336a, 40227 Düsseldorf",Polesport,"Mittwoch, 24. Januar 2024",https://www.eversports.de/e/class/DH_NxA2,18:10 - 19:05
,"Unsere Trainerin Daria darf sich official ambassador of Frame Up Strip nennen und arbeitet daran, den Tanzstil in Deutschland ein wenig bekannter zu machen. Der neue Tanzstil aus Russland erfreut sich dort immer größerer Beliebtheit und unser Studio freut sich als eines der wenigen in Europa den Style anbieten zu können. Frame Up Base mit Katja Der neue Tanzstil aus Russland erfreut sich dort immer größerer Beliebtheit und unser Studio freut sich als eines der wenigen in Europa den Style anbieten zu können. Frame-Up basiert auf dem klassischen Stripdance Floorwork. Wodurch sich Frame-Up aber von seinem Ursprung unterscheidet sind höhere Geschwindigkeit, Bedeutung der Musikalität, klarer Linien und Isolationen. In diesem Kurs lernen wir Choreos und die darin vorkommenden akrobatischen Elemente. Ab und zu arbeiten wir auch an Impro Skills, denn grundsätzlich darf jede*r eine eigene Interpretation von Frame Up vertanzen und Einflüsse unterschiedlicher Tanzrichtungen einbauen. Wichtige Hinweise: Knieschoner sind empfohlen, Schuhe mit Plateau empfehlenswert aber kein Muss. Eine lange Hose und ein Oberteil, das die Schultern bedeckt sind empfehlenswert, damit wir besser über den Boden gleiten und nicht kleben.",Pole Land,"Kölner Straße 336a, 40227 Düsseldorf",Frame Up,"Mittwoch, 24. Januar 2024",https://www.eversports.de/e/class/L-aTGtkZIoM,19:20 - 20:15
,Hier erlernt ihr eine Choreografie für Pole Beginner.,Pole Land,Einzelticket,Poledance,"Mittwoch, 24. Januar 2024",https://www.eversports.de/e/class/wn4uaevnUq0,20:30 - 21:25
,Neue Choreo ab 11.01.2024. Hier erlernt ihr eine Choreografie für Pole Begeisterte mit Pole Erfahrung. Ein Invert ist Voraussetzung.,Pole Land,Einzelticket,Poledance,"Donnerstag, 25. Januar 2024",https://www.eversports.de/e/class/qvJUUicop0,18:10 - 19:05
,"Du möchtest deine gelernten Tricks selbstständig, also ohne Anleitung einer Trainer*In für dich selber wiederholen? Du kannst in unserer Community mit anderen Polerinas in Kontakt kommen, gegenseitig Erfahrungen austauschen, einfach frei trainieren. Für alle Mitglieder kostenlos Für Externe & Karteninhaber*Innen kostet eine Freie Übungsstunde 10€ und dauert immer mindestens 60 Minuten.",Pole Land,"Kölner Straße 336a, 40227 Düsseldorf",Aerial Akrobatik,"Donnerstag, 25. Januar 2024",https://www.eversports.de/e/class/OQ4aOZH,18:10 - 20:15
,"Du hast Lust dich in High Heels an der Pole bewegen? Die Choreo Klasse mit Daria ist da genau richtig. Die Stunde ist folgendermaßen strukturiert: Wir wärmen uns direkt in Heels und an der Pole auf, machen anschließend einige Übungen für die Füße und Flexibilität. Anschließend arbeiten wir an Transitions oder Posen, die etwas komplexer sind und bauen sie anschließend in unsere Choreo ein. Für den Kurs sind Extrem Plateau Heels und Knieschoner empfohlen. Wenn ihr noch keine eigene Ausstattung habt, aber gern rein schnuppern möchtet, schreibt uns gern an, in einigen Größen haben wir Schuhe da und Knieschoner könnt ihr euch auch bei uns leihen.",Pole Land,"Kölner Straße 336a, 40227 Düsseldorf",Poledance,"Donnerstag, 25. Januar 2024",https://www.eversports.de/e/class/iU91nbYLMFG,19:20 - 20:15
,Neue Choreo ab 11.01.2024. Hier erlernt ihr eine Choreografie mit Pole für Pole Dance Liebende. Lasst euch überraschen was euch geboten wird.,Pole Land,Einzelticket,Poledance,"Donnerstag, 25. Januar 2024",https://www.eversports.de/e/class/1ZdbJ4nnFrx,20:30 - 21:25
,"Jede Klasse beginnt mit einem guten Ganzkörper-Aufwärmen, danach gehen wir alle großen Muskelgruppen durch und erst dann widmen wir uns der vertieften Arbeit an Beinen, Rücken oder Schultern.  Regelmäßiges Dehnen macht die schönsten Elemente an der Stange möglich, seien es horizontale oder vertikale Splits in der Luft oder schöne Figuren, die mehr Rückenflexibilität erfordern. Darüber hinaus bringt Stretching unbestreitbare gesundheitliche Vorteile: Es erhöht die Beweglichkeit der Gelenke, verringert das Verletzungsrisiko und erhöht die Muskelleistung.  Empfehlung zur Kleidung: Eine warme Jogginghose und Jacke. Wir empfehlen auch das Tragen eines Backwarmers (auch Nierengurt genannt ;)), um den unteren Rücken warm zu halten.",Pole Land,"Kölner Straße 336a, 40227 Düsseldorf",Dehnung/Flexibilität,"Donnerstag, 25. Januar 2024",https://www.eversports.de/e/class/J0H-xxb,20:30 - 21:25
,"Habt ihr die Basics schon drauf? Dann lernen wir weitere Techniken, Combos und Tricks die die Grundlage für schwierigere Pole Tricks bilden.",Pole Land,"Kölner Straße 336a, 40227 Düsseldorf",Polesport,"Freitag, 26. Januar 2024",https://www.eversports.de/e/class/tT9GkkdFhm7,17:00 - 17:55
,"Jede Klasse beginnt mit einem guten Ganzkörper-Aufwärmen, danach gehen wir alle großen Muskelgruppen durch und erst dann widmen wir uns der vertieften Arbeit an Beinen, Rücken oder Schultern.  Regelmäßiges Dehnen macht die schönsten Elemente an der Stange möglich, seien es horizontale oder vertikale Splits in der Luft oder schöne Figuren, die mehr Rückenflexibilität erfordern. Darüber hinaus bringt Stretching unbestreitbare gesundheitliche Vorteile: Es erhöht die Beweglichkeit der Gelenke, verringert das Verletzungsrisiko und erhöht die Muskelleistung.  Empfehlung zur Kleidung: Eine warme Jogginghose und Jacke. Wir empfehlen auch das Tragen eines Backwarmers (auch Nierengurt genannt ;)), um den unteren Rücken warm zu halten.",Pole Land,"Kölner Straße 336a, 40227 Düsseldorf",Dehnung/Flexibilität,"Freitag, 26. Januar 2024",https://www.eversports.de/e/class/rmnfT5E,18:10 - 19:05
,"Du hast Lust dich in High Heels an der Pole bewegen? Die Choreo Klasse mit Daria ist da genau richtig. Die Stunde ist folgendermaßen strukturiert: Wir wärmen uns direkt in Heels und an der Pole auf, machen anschließend einige Übungen für die Füße und Flexibilität. Anschließend arbeiten wir an Transitions oder Posen, die etwas komplexer sind und bauen sie anschließend in unsere Choreo ein. Für den Kurs sind Extrem Plateau Heels und Knieschoner empfohlen. Wenn ihr noch keine eigene Ausstattung habt, aber gern rein schnuppern möchtet, schreibt uns gern an, in einigen Größen haben wir Schuhe da und Knieschoner könnt ihr euch auch bei uns leihen.",Pole Land,"Kölner Straße 336a, 40227 Düsseldorf",Poledance,"Freitag, 26. Januar 2024",https://www.eversports.de/e/class/QWnmgP3,18:10 - 19:05
,"Du bist schon lange dabei, leichte Tricks beherrscht du aus dem FF und möchtest dich gerne weiterentwickeln? You are welcome to join!",Pole Land,"Kölner Straße 336a, 40227 Düsseldorf",Polesport,"Freitag, 26. Januar 2024",https://www.eversports.de/e/class/kSRPcQ_YVHQ,19:20 - 20:15
