Klassenname,Beschreibung,Studio Name,Standort,Kategorie,Datum,URL_E,Zeit
Unisport Pole Choreo,Neue Choreo ab 11.01.2024. Hier erlernt ihr eine Choreografie mit Pole für Pole Dance Liebende. Lasst euch überraschen was euch geboten wird.,Pole Land,Einzelticket,Poledance,"Donnerstag, 21. Dezember 2023",https://www.eversports.de/e/class/N5t1gHPWXB7,20:30 - 21:25
Flexibility ,"Jede Klasse beginnt mit einem guten Ganzkörper-Aufwärmen, danach gehen wir alle großen Muskelgruppen durch und erst dann widmen wir uns der vertieften Arbeit an Beinen, Rücken oder Schultern.  Regelmäßiges Dehnen macht die schönsten Elemente an der Stange möglich, seien es horizontale oder vertikale Splits in der Luft oder schöne Figuren, die mehr Rückenflexibilität erfordern. Darüber hinaus bringt Stretching unbestreitbare gesundheitliche Vorteile: Es erhöht die Beweglichkeit der Gelenke, verringert das Verletzungsrisiko und erhöht die Muskelleistung.  Empfehlung zur Kleidung: Eine warme Jogginghose und Jacke. Wir empfehlen auch das Tragen eines Backwarmers (auch Nierengurt genannt ;)), um den unteren Rücken warm zu halten.",Pole Land,"Kölner Straße 336a, 40227 Düsseldorf",Dehnung/Flexibilität,"Donnerstag, 21. Dezember 2023",https://www.eversports.de/e/class/r1NQWa4,20:30 - 21:25
Pole Technik Beginner,"Habt ihr die Basics schon drauf? Dann lernen wir weitere Techniken, Combos und Tricks die die Grundlage für schwierigere Pole Tricks bilden.",Pole Land,"Kölner Straße 336a, 40227 Düsseldorf",Polesport,"Freitag, 22. Dezember 2023",https://www.eversports.de/e/class/oDf7HhT3nHM,17:00 - 17:55
Pole in Heels,"Du hast Lust dich in High Heels an der Pole bewegen? Die Choreo Klasse mit Daria ist da genau richtig. Die Stunde ist folgendermaßen strukturiert: Wir wärmen uns direkt in Heels und an der Pole auf, machen anschließend einige Übungen für die Füße und Flexibilität. Anschließend arbeiten wir an Transitions oder Posen, die etwas komplexer sind und bauen sie anschließend in unsere Choreo ein. Für den Kurs sind Extrem Plateau Heels und Knieschoner empfohlen. Wenn ihr noch keine eigene Ausstattung habt, aber gern rein schnuppern möchtet, schreibt uns gern an, in einigen Größen haben wir Schuhe da und Knieschoner könnt ihr euch auch bei uns leihen.",Pole Land,"Kölner Straße 336a, 40227 Düsseldorf",Poledance,"Freitag, 22. Dezember 2023",https://www.eversports.de/e/class/M4zQ6AOdqYo,18:10 - 19:05
Pole Technik Mittelstufe,"Du bist schon lange dabei, leichte Tricks beherrscht du aus dem FF und möchtest dich gerne weiterentwickeln? You are welcome to join!",Pole Land,"Kölner Straße 336a, 40227 Düsseldorf",Polesport,"Freitag, 22. Dezember 2023",https://www.eversports.de/e/class/F3ehQH4KBqT,19:20 - 20:15
Unisport Pole,"Pole Tricks & Combos mit Louisa studierst du an der HHU, HSD, Kunstakademie oder RS Musikhochschule? Dann kannst du einzelne Stunden, oder Zeitkarten, ganz ohne Vertrag buchen. Du meldest dich für die Kurse an die du besuchen möchtest. Hast du eine Klausurphase, dann trägst du dich in dem Zeitraum nicht ein.",Pole Land,Einzelticket,Polesport,"Montag, 18. Dezember 2023",https://www.eversports.de/e/class/HZp7xwq,17:00 - 17:55
Pole Technik Beginner,"Habt ihr die Basics schon drauf? Dann lernen wir weitere Techniken, Combos und Tricks die die Grundlage für schwierigere Pole Tricks bilden.",Pole Land,"Kölner Straße 336a, 40227 Düsseldorf",Polesport,"Montag, 18. Dezember 2023",https://www.eversports.de/e/class/OGZLLZ2pbEl,18:10 - 19:05
Pole Technik Mittelstufe,"Du hast schon ein Bisschen Kraft & Flexibilität aufgebaut und das Klettern ist für dich kein Problem & ein Invert auch nicht? Perfekt, dann lernen wir weitere Techniken, Combos und Tricks um fortgeschritten zu werden.",Pole Land,"Kölner Straße 336a, 40227 Düsseldorf",Polesport,"Montag, 18. Dezember 2023",https://www.eversports.de/e/class/GMRKl7XvIqS,19:20 - 20:15
Flexibility,"Jede Klasse beginnt mit einem guten Ganzkörper-Aufwärmen, danach gehen wir alle großen Muskelgruppen durch und erst dann widmen wir uns der vertieften Arbeit an Beinen, Rücken oder Schultern.  Regelmäßiges Dehnen macht die schönsten Elemente an der Stange möglich, seien es horizontale oder vertikale Splits in der Luft oder schöne Figuren, die mehr Rückenflexibilität erfordern. Darüber hinaus bringt Stretching unbestreitbare gesundheitliche Vorteile: Es erhöht die Beweglichkeit der Gelenke, verringert das Verletzungsrisiko und erhöht die Muskelleistung.  Empfehlung zur Kleidung: Eine warme Jogginghose oder Leggings und ein ne Jacke. Wir empfehlen auch das Tragen eines Backwarmers (auch Nierengurt genannt ;)), um den unteren Rücken warm zu halten.",Pole Land,"Kölner Straße 336a, 40227 Düsseldorf",Dehnung/Flexibilität,"Montag, 18. Dezember 2023",https://www.eversports.de/e/class/zFtprlu_h3G,19:20 - 20:15
Aerial Hammock,"Wir lassen euch nicht einfach in den Seilen hängen! Beim Hammock hängt das Tuch in einem U. Ähnlich wie eine Hängematte. Gemütlichen herumhängen ist hier bei uns aber nicht gemeint. Beim Hammock geht es darum, sich durch bestimmte Bewegungen mit dem eigenen Körper so in das Tuch einzudrehen, dass man sich anschließend hängen oder sogar fallen lassen kann. Das Ganze erfordert Kraft und Körperspannung, verbunden mit Eleganz, Flexibilität und Ausdruck. Eure Kleidung ist lang und eng anliegend. Am besten eignen sich Stoffe aus Baumwolle, da synthetische Fasern nicht am Tuch haften und ihr rutscht. Unsere Gesa freut sich schon auf euch.",Pole Land,"Kölner Straße 336a, 40227 Düsseldorf",Aerial Hammock,"Montag, 18. Dezember 2023",https://www.eversports.de/e/class/0BY6nZfDkhc,20:30 - 21:40
Unisport Pole Technik,"Pole Tricks & Combos mit Louisa studierst du an der HHU, HSD, Kunstakademie oder RS Musikhochschule? Dann kannst du einzelne Stunden, oder Zeitkarten, ganz ohne Vertrag buchen. Du meldest dich für die Kurse an die du besuchen möchtest. Hast du eine Klausurphase, dann trägst du dich in dem Zeitraum nicht ein.",Pole Land,"Kölner Straße 336a, 40227 Düsseldorf",Polesport,"Dienstag, 19. Dezember 2023",https://www.eversports.de/e/class/FchA6GSlUFb,17:00 - 17:55
Pole Choreo Beginner,"In diesem Kurs lernen wir gemeinsam eine Choreografie zu Musik und arbeiten auf einen eleganten Flow hin, indem wir sinnliche Bewegungen aneinander reihen und miteinander verbinden. Seit dem 4.07. tanzen wir eine Choreografie zu „Contaminated“ by BANKS.  Bitte versucht, zum Start einer neuen Choreo möglichst beim 1. / 2. Termin dabei zu sein. Danach wird es schwierig, noch reinzukommen. Socken und Knieschoner sind hilfreich! :-)",Pole Land,"Kölner Straße 336a, 40227 Düsseldorf",Poledance,"Dienstag, 19. Dezember 2023",https://www.eversports.de/e/class/1GOmwNBQ5HD,18:10 - 19:05
Hoop Beginner,"Ihr möchtet Hoop ausprobieren? Oder kennst schon die Basics? Dann kommt vorbei und lernt neue Techniken, die euch weiterbringen, verinnerlicht und zu kombiniert diese und werdet noch großartiger! Maurice macht Luftakrobatik mit Leidenschaft und wird dir die wichtigen Kniffe Schritt für Schritt erklären. Wichtiger Hinweis für alle Teilnehmenden: Bitte tragt Sportkleidung, die eure Arme und Beide bedeckt! Im Gegensatz zur Pole brauchen wir hier nicht den Kontakt zur Haut, der uns halt gibt, sondern wollen unsere Haut vor Reibung schützen.",Pole Land,"Kölner Straße 336a, 40227 Düsseldorf",Aerial Hoop,"Dienstag, 19. Dezember 2023",https://www.eversports.de/e/class/tzK0ZlG3QBw,18:10 - 19:20
Pole Technik Mittelstufe,"Du hast schon ein Bisschen Kraft & Flexibilität aufgebaut und das Klettern ist für dich kein Problem & ein Invert auch nicht? Perfekt, dann lernen wir weitere Techniken, Combos und Tricks um fortgeschritten zu werden.",Pole Land,Einzelticket,Polesport,"Dienstag, 19. Dezember 2023",https://www.eversports.de/e/class/No1JOQ9nX0F,19:20 - 20:15
Pole Technik Beginner,"Habt ihr die Basics schon drauf? Dann lernen wir weitere Techniken, Combos und Tricks die die Grundlage für schwierigere Pole Tricks bilden.",Pole Land,Einzelticket,Polesport,"Dienstag, 19. Dezember 2023",https://www.eversports.de/e/class/HXAvYmDuBKb,20:30 - 21:25
Contemporary,"Die aktuelle Choreo wird seit 11.10.2023 unterrichtet. Song: Gang of Youths - Achilles come down Hier erlernt ihr eine Choreografie ohne Pole. Lasst euch überraschen was Gesa mit euch zusammen kreiert. Was ihr mitbringen müsst: Socken, Knieschoner und Spaß am tanzen. Gesa freut sich auf euch.",Pole Land,"Kölner Straße 336a, 40227 Düsseldorf",Streetdance,"Mittwoch, 20. Dezember 2023",https://www.eversports.de/e/class/46atZzUxYRX,18:10 - 19:05
Frame Up,"Unsere Trainerin Daria darf sich official ambassador of Frame Up Strip nennen und arbeitet daran, den Tanzstil in Deutschland ein wenig bekannter zu machen. Der neue Tanzstil aus Russland erfreut sich dort immer größerer Beliebtheit und unser Studio freut sich als eines der wenigen in Europa den Style anbieten zu können. Frame Up Base mit Katja Der neue Tanzstil aus Russland erfreut sich dort immer größerer Beliebtheit und unser Studio freut sich als eines der wenigen in Europa den Style anbieten zu können. Frame-Up basiert auf dem klassischen Stripdance Floorwork. Wodurch sich Frame-Up aber von seinem Ursprung unterscheidet sind höhere Geschwindigkeit, Bedeutung der Musikalität, klarer Linien und Isolationen. In diesem Kurs lernen wir Choreos und die darin vorkommenden akrobatischen Elemente. Ab und zu arbeiten wir auch an Impro Skills, denn grundsätzlich darf jede*r eine eigene Interpretation von Frame Up vertanzen und Einflüsse unterschiedlicher Tanzrichtungen einbauen. Wichtige Hinweise: Knieschoner sind empfohlen, Schuhe mit Plateau empfehlenswert aber kein Muss. Eine lange Hose und ein Oberteil, das die Schultern bedeckt sind empfehlenswert, damit wir besser über den Boden gleiten und nicht kleben.",Pole Land,"Kölner Straße 336a, 40227 Düsseldorf",Frame Up,"Mittwoch, 20. Dezember 2023",https://www.eversports.de/e/class/nGuzjJLFRJ4,19:20 - 20:15
Pole Choreo Beginner,Hier erlernt ihr eine Choreografie für Pole Beginner.,Pole Land,Einzelticket,Poledance,"Mittwoch, 20. Dezember 2023",https://www.eversports.de/e/class/yaQ3Dq2RijA,20:30 - 21:25
High Heels interm.,"In dieser Klasse sollten die Basics sitzen, denn wir konzentrieren uns auf Tanzen. Abwechselnd gibt es Choreos in unterschiedlichen Stimmungen mit hoher Konzentration auf Musikalität und Ausführung. Heels (ohne Plateau) und Knieschoner sind empfehlenswert, aber kein Muss.",Pole Land,"Kölner Straße 336a, 40227 Düsseldorf",Frame Up,"Mittwoch, 20. Dezember 2023",https://www.eversports.de/e/class/w934dON1KMd,20:30 - 21:25
Unisport Pole,"Pole Tricks & Combos mit Louisa studierst du an der HHU, HSD, Kunstakademie oder RS Musikhochschule? Dann kannst du einzelne Stunden, oder Zeitkarten, ganz ohne Vertrag buchen. Du meldest dich für die Kurse an die du besuchen möchtest. Hast du eine Klausurphase, dann trägst du dich in dem Zeitraum nicht ein.",Pole Land,Einzelticket,Polesport,"Donnerstag, 21. Dezember 2023",https://www.eversports.de/e/class/mTT4Wt4,17:00 - 17:55
Pole Choreo Mittelstufe,Neue Choreo ab 11.01.2024. Hier erlernt ihr eine Choreografie für Pole Begeisterte mit Pole Erfahrung. Ein Invert ist Voraussetzung.,Pole Land,Einzelticket,Poledance,"Donnerstag, 21. Dezember 2023",https://www.eversports.de/e/class/3XRj2qmIxs,18:10 - 19:05
Pole in Heels,"Du hast Lust dich in High Heels an der Pole bewegen? Die Choreo Klasse mit Daria ist da genau richtig. Die Stunde ist folgendermaßen strukturiert: Wir wärmen uns direkt in Heels und an der Pole auf, machen anschließend einige Übungen für die Füße und Flexibilität. Anschließend arbeiten wir an Transitions oder Posen, die etwas komplexer sind und bauen sie anschließend in unsere Choreo ein. Für den Kurs sind Extrem Plateau Heels und Knieschoner empfohlen. Wenn ihr noch keine eigene Ausstattung habt, aber gern rein schnuppern möchtet, schreibt uns gern an, in einigen Größen haben wir Schuhe da und Knieschoner könnt ihr euch auch bei uns leihen.",Pole Land,"Kölner Straße 336a, 40227 Düsseldorf",Poledance,"Donnerstag, 21. Dezember 2023",https://www.eversports.de/e/class/miql_Ra9Ww-,19:20 - 20:15
Unisport Pole Choreo,Neue Choreo ab 11.01.2024. Hier erlernt ihr eine Choreografie mit Pole für Pole Dance Liebende. Lasst euch überraschen was euch geboten wird.,Pole Land,Einzelticket,Poledance,"Donnerstag, 21. Dezember 2023",https://www.eversports.de/e/class/N5t1gHPWXB7,20:30 - 21:25
Flexibility ,"Jede Klasse beginnt mit einem guten Ganzkörper-Aufwärmen, danach gehen wir alle großen Muskelgruppen durch und erst dann widmen wir uns der vertieften Arbeit an Beinen, Rücken oder Schultern.  Regelmäßiges Dehnen macht die schönsten Elemente an der Stange möglich, seien es horizontale oder vertikale Splits in der Luft oder schöne Figuren, die mehr Rückenflexibilität erfordern. Darüber hinaus bringt Stretching unbestreitbare gesundheitliche Vorteile: Es erhöht die Beweglichkeit der Gelenke, verringert das Verletzungsrisiko und erhöht die Muskelleistung.  Empfehlung zur Kleidung: Eine warme Jogginghose und Jacke. Wir empfehlen auch das Tragen eines Backwarmers (auch Nierengurt genannt ;)), um den unteren Rücken warm zu halten.",Pole Land,"Kölner Straße 336a, 40227 Düsseldorf",Dehnung/Flexibilität,"Donnerstag, 21. Dezember 2023",https://www.eversports.de/e/class/r1NQWa4,20:30 - 21:25
Pole Technik Beginner,"Habt ihr die Basics schon drauf? Dann lernen wir weitere Techniken, Combos und Tricks die die Grundlage für schwierigere Pole Tricks bilden.",Pole Land,"Kölner Straße 336a, 40227 Düsseldorf",Polesport,"Freitag, 22. Dezember 2023",https://www.eversports.de/e/class/oDf7HhT3nHM,17:00 - 17:55
Pole in Heels,"Du hast Lust dich in High Heels an der Pole bewegen? Die Choreo Klasse mit Daria ist da genau richtig. Die Stunde ist folgendermaßen strukturiert: Wir wärmen uns direkt in Heels und an der Pole auf, machen anschließend einige Übungen für die Füße und Flexibilität. Anschließend arbeiten wir an Transitions oder Posen, die etwas komplexer sind und bauen sie anschließend in unsere Choreo ein. Für den Kurs sind Extrem Plateau Heels und Knieschoner empfohlen. Wenn ihr noch keine eigene Ausstattung habt, aber gern rein schnuppern möchtet, schreibt uns gern an, in einigen Größen haben wir Schuhe da und Knieschoner könnt ihr euch auch bei uns leihen.",Pole Land,"Kölner Straße 336a, 40227 Düsseldorf",Poledance,"Freitag, 22. Dezember 2023",https://www.eversports.de/e/class/M4zQ6AOdqYo,18:10 - 19:05
Pole Technik Mittelstufe,"Du bist schon lange dabei, leichte Tricks beherrscht du aus dem FF und möchtest dich gerne weiterentwickeln? You are welcome to join!",Pole Land,"Kölner Straße 336a, 40227 Düsseldorf",Polesport,"Freitag, 22. Dezember 2023",https://www.eversports.de/e/class/F3ehQH4KBqT,19:20 - 20:15
Aerial Yoga Stretching im Hammock,"Anmeldung auf der Webseite: https://poledance.nrw/aerial-yoga/ Innerhalb der 2 Stunden sind 15 Minuten für das Justieren der Tücher und 15 Minuten für den Umbau eingeplant, so dass die Trainingszeit effektiv 90 Minuten beträgt. Falls Du Dich verspäten solltest, dann gib uns Bescheid, damit wir ein Tuch für Dich aufhängen. Sag bitte online ab, falls Du nicht kommen kannst. Danke :) Erweitere deinen Bewegungsradius funktionell und entfalte deine Bewegungsfreiheit! Dieses Training verbessert neben Beweglichkeit auch Kraft, Gleichgewichtssinn, Körperwahrnehmung und beschleunigt die Regeneration , idem es es nachhaltig die Durchblutung und den Stoffwechsel anregt. Heb mit uns ab! Wir empfehlen lange enganliegende Bekleidung, wie Leggings und Langarm-Shirt.",POLEDANCE NRW,"Rethelstraße 28 Hof, 40237 Düsseldorf",Aerial Yoga,"Samstag, 23. Dezember 2023",https://www.eversports.de/e/class/CHloxfy,11:30 - 13:30
Pole Tricks & Combos Level 5,"Anmeldung unter https://poledance.nrw/pole-tricks-combos/ Wir trainieren Techniken & Kombinationen wie Shoulder Mount, Brass Monkey, Aicha & Handspring. Kopfüber Positionen sowie Transitions in und aus solchen Positionen sollten Teil Deiner Komfortzone sein.",POLEDANCE NRW,"Rethelstraße 28 Hof, 40237 Düsseldorf",Poledance,"Montag, 18. Dezember 2023",https://www.eversports.de/e/class/zBX86Gs,19:45 - 20:45
Dance Grooves,"Anmeldung auf der Webseite: https://poledance.nrw/pole-dance-choreo/ Lerne Dance Basics wie Drehungen, Isolations (Isolierte Bewegungen in isolierten Körperteilen) und Körperwellen ergänzt. Die erlernten Moves können dann im Club oder in unseren Choreografie- und Tanzkursen angewendet werden. Bitte bring eine lange Hose, Socken und Knieschoner mit",POLEDANCE NRW,"Rethelstraße 28 Hof, 40237 Düsseldorf",Tanzen,"Montag, 18. Dezember 2023",https://www.eversports.de/e/class/yLDsIu8,21:00 - 22:00
Sexy Butt & Belly Workout,"Anmeldung auf der Webseite: https://poledance.nrw/body-fitness/ Dieses Training verbessert sowohl Deine Körperhaltung, Körperspannung, Kraft als auch Deine Beweglichkeit! Tanz-, Ballett- und Pilates basierende Übungen für Bauch, Beine, Po werden im vollen Bewegungsumfang ausgeführt, was langfristig zur Ausbildung einer starken, flexiblen und schlanken Muskulatur beiträgt.",POLEDANCE NRW,"Rethelstraße 28 Hof, 40237 Düsseldorf","Bauch, Beine, Po","Dienstag, 19. Dezember 2023",https://www.eversports.de/e/class/tCaYROd,18:00 - 19:00
Sexy Pole Choreo,"Anmeldung auf der Webseite: https://poledance.nrw/high-heels-poledance/ Entdecke deine Sinnlichkeit: In diesem Kurs lernst du sexy Mini-Choreografien mit verschiedenen Spins, tänzerischen Bewegungen und Floor-Elementen. Flüssige Transitions und ein sexy Gefühl stehen dabei im Vordergrund. Für diesen Kurs empfehlen wir Plateau High Heels und unbedingt Knieschoner mitzubringen.",POLEDANCE NRW,"Rethelstraße 28 Hof, 40237 Düsseldorf",Poledance,"Dienstag, 19. Dezember 2023",https://www.eversports.de/e/class/WvyltsZ,20:15 - 21:15
Pole Tricks & Combos Level 5,"Anmeldung unter https://poledance.nrw/pole-tricks-combos/ Wir trainieren Techniken & Kombinationen wie Shoulder Mount, Brass Monkey, Aicha & Handspring. Kopfüber Positionen sowie Transitions in und aus solchen Positionen sollten Teil Deiner Komfortzone sein.",POLEDANCE NRW,"Rethelstraße 28 Hof, 40237 Düsseldorf",Poledance,"Montag, 18. Dezember 2023",https://www.eversports.de/e/class/zBX86Gs,19:45 - 20:45
Dance Grooves,"Anmeldung auf der Webseite: https://poledance.nrw/pole-dance-choreo/ Lerne Dance Basics wie Drehungen, Isolations (Isolierte Bewegungen in isolierten Körperteilen) und Körperwellen ergänzt. Die erlernten Moves können dann im Club oder in unseren Choreografie- und Tanzkursen angewendet werden. Bitte bring eine lange Hose, Socken und Knieschoner mit",POLEDANCE NRW,"Rethelstraße 28 Hof, 40237 Düsseldorf",Tanzen,"Montag, 18. Dezember 2023",https://www.eversports.de/e/class/yLDsIu8,21:00 - 22:00
Sexy Butt & Belly Workout,"Anmeldung auf der Webseite: https://poledance.nrw/body-fitness/ Dieses Training verbessert sowohl Deine Körperhaltung, Körperspannung, Kraft als auch Deine Beweglichkeit! Tanz-, Ballett- und Pilates basierende Übungen für Bauch, Beine, Po werden im vollen Bewegungsumfang ausgeführt, was langfristig zur Ausbildung einer starken, flexiblen und schlanken Muskulatur beiträgt.",POLEDANCE NRW,"Rethelstraße 28 Hof, 40237 Düsseldorf","Bauch, Beine, Po","Dienstag, 19. Dezember 2023",https://www.eversports.de/e/class/tCaYROd,18:00 - 19:00
Sexy Pole Choreo,"Anmeldung auf der Webseite: https://poledance.nrw/high-heels-poledance/ Entdecke deine Sinnlichkeit: In diesem Kurs lernst du sexy Mini-Choreografien mit verschiedenen Spins, tänzerischen Bewegungen und Floor-Elementen. Flüssige Transitions und ein sexy Gefühl stehen dabei im Vordergrund. Für diesen Kurs empfehlen wir Plateau High Heels und unbedingt Knieschoner mitzubringen.",POLEDANCE NRW,"Rethelstraße 28 Hof, 40237 Düsseldorf",Poledance,"Dienstag, 19. Dezember 2023",https://www.eversports.de/e/class/WvyltsZ,20:15 - 21:15
Aerial Yoga Stretching im Hammock,"Anmeldung auf der Webseite: https://poledance.nrw/aerial-yoga/ Innerhalb der 2 Stunden sind 15 Minuten für das Justieren der Tücher und 15 Minuten für den Umbau eingeplant, so dass die Trainingszeit effektiv 90 Minuten beträgt. Falls Du Dich verspäten solltest, dann gib uns Bescheid, damit wir ein Tuch für Dich aufhängen. Sag bitte online ab, falls Du nicht kommen kannst. Danke :) Erweitere deinen Bewegungsradius funktionell und entfalte deine Bewegungsfreiheit! Dieses Training verbessert neben Beweglichkeit auch Kraft, Gleichgewichtssinn, Körperwahrnehmung und beschleunigt die Regeneration , idem es es nachhaltig die Durchblutung und den Stoffwechsel anregt. Heb mit uns ab! Wir empfehlen lange enganliegende Bekleidung, wie Leggings und Langarm-Shirt.",POLEDANCE NRW,"Rethelstraße 28 Hof, 40237 Düsseldorf",Aerial Yoga,"Samstag, 23. Dezember 2023",https://www.eversports.de/e/class/CHloxfy,11:30 - 13:30
